datetime,PRECTOTCORR_z,discharge_cfs_z
22-04-2004,-0.458099042,-0.326559844
23-04-2004,-0.458099042,-0.330325621
24-04-2004,-0.40054725,-0.334091397
25-04-2004,4.528517068,-0.209282804
26-04-2004,-0.379405775,0.625105675
27-04-2004,-0.458099042,0.958645879
28-04-2004,-0.458099042,0.990923963
29-04-2004,0.699983953,0.44219653
30-04-2004,-0.298363456,0.076378242
01-05-2004,2.507580026,-0.154948029
02-05-2004,-0.300712509,0.237768663
03-05-2004,-0.445179252,0.280806109
04-05-2004,-0.458099042,0.157073452
05-05-2004,-0.458099042,-0.110834647
06-05-2004,-0.458099042,-0.206054996
07-05-2004,-0.458099042,-0.251782282
08-05-2004,-0.458099042,-0.278142718
09-05-2004,-0.441655673,-0.295895664
10-05-2004,-0.448702831,-0.30826893
11-05-2004,-0.192656084,-0.313110642
12-05-2004,3.194677949,-0.279218654
13-05-2004,-0.084599658,-0.194757667
14-05-2004,0.609545423,-0.165707391
15-05-2004,0.349975096,-0.145264604
16-05-2004,-0.288967245,-0.159251774
17-05-2004,0.8268328,-0.075866723
18-05-2004,0.637734055,-0.083398276
19-05-2004,-0.291316298,-0.068873138
20-05-2004,-0.458099042,-0.081784371
21-05-2004,-0.375882196,-0.105454967
22-05-2004,-0.458099042,-0.201213283
23-05-2004,-0.434608515,-0.278680686
24-05-2004,-0.458099042,-0.31095877
25-05-2004,-0.458099042,-0.320642195
26-05-2004,-0.458099042,-0.331401557
27-05-2004,-0.458099042,-0.33893311
28-05-2004,0.022282241,-0.342160918
29-05-2004,-0.291316298,-0.339471078
30-05-2004,1.230869869,-0.343236854
31-05-2004,3.064305522,-0.26899726
01-06-2004,2.84232004,0.66276344
02-06-2004,0.717601848,1.475095228
03-06-2004,-0.066981763,0.990923963
04-06-2004,-0.458099042,0.571308867
05-06-2004,-0.455749989,0.253907705
06-06-2004,0.916096804,-0.088777956
07-06-2004,-0.38762746,-0.060803617
08-06-2004,-0.388801986,0.030650955
09-06-2004,-0.296014404,0.047865934
10-06-2004,-0.458099042,-0.14903038
11-06-2004,-0.453400936,-0.228649655
12-06-2004,-0.405245355,-0.264693516
13-06-2004,0.825658274,-0.285674271
14-06-2004,1.404699771,-0.293743792
15-06-2004,0.091579296,-0.224883879
16-06-2004,0.509710682,-0.168397231
17-06-2004,-0.399372724,-0.195833603
18-06-2004,0.092753823,-0.215200453
19-06-2004,-0.021175235,-0.235105272
20-06-2004,-0.353566195,-0.263079612
21-06-2004,0.615418054,-0.285136303
22-06-2004,0.76223385,-0.306655025
23-06-2004,0.319437411,-0.31095877
24-06-2004,2.417141496,-0.2969716
25-06-2004,1.054690914,-0.269535228
26-06-2004,0.625988792,-0.248554474
27-06-2004,1.155700182,-0.13235337
28-06-2004,0.99479007,0.194731217
29-06-2004,1.205030289,0.14093441
30-06-2004,1.047643756,0.227009302
01-07-2004,1.523326934,0.458335572
02-07-2004,1.047643756,2.002303938
03-07-2004,-0.126882607,2.911469979
04-07-2004,-0.424037777,2.803876364
05-07-2004,-0.332424721,1.883950962
06-07-2004,-0.18091082,1.163073746
07-07-2004,-0.24550977,0.426057488
08-07-2004,1.066436178,-0.04036083
09-07-2004,0.043423715,0.010208169
10-07-2004,-0.440481146,0.409918446
11-07-2004,-0.455749989,0.678902482
12-07-2004,-0.438132094,0.426057488
13-07-2004,-0.454575463,-0.024759756
14-07-2004,-0.455749989,-0.178618624
15-07-2004,-0.276047455,-0.231339495
16-07-2004,1.600845673,-0.243712761
17-07-2004,0.224300775,-0.186150177
18-07-2004,-0.454575463,-0.119980105
19-07-2004,-0.458099042,-0.165169423
20-07-2004,-0.458099042,-0.230263559
21-07-2004,-0.458099042,-0.270073197
22-07-2004,-0.444004725,-0.292667856
23-07-2004,-0.065807236,-0.305041121
24-07-2004,-0.444004725,-0.307730962
25-07-2004,0.246616776,-0.322794068
26-07-2004,1.384732823,-0.322256099
27-07-2004,-0.384103881,-0.288902079
28-07-2004,-0.458099042,-0.269535228
29-07-2004,-0.456924515,-0.27760475
30-07-2004,-0.299537983,-0.315262515
31-07-2004,0.590753001,-0.331401557
01-08-2004,-0.375882196,-0.257699931
02-08-2004,-0.440481146,-0.123207913
03-08-2004,-0.458099042,-0.217352326
04-08-2004,-0.458099042,-0.308806898
05-08-2004,-0.220844716,-0.333553429
06-08-2004,-0.454575463,-0.34162295
07-08-2004,-0.458099042,-0.348078567
08-08-2004,-0.438132094,-0.356148088
09-08-2004,0.771630061,-0.362603705
10-08-2004,1.02062965,-0.295357696
11-08-2004,0.017584135,-0.288902079
12-08-2004,-0.333599247,-0.316338451
13-08-2004,-0.458099042,-0.337857174
14-08-2004,-0.458099042,-0.356686056
15-08-2004,-0.458099042,-0.366907449
16-08-2004,-0.458099042,-0.373901034
17-08-2004,-0.458099042,-0.378204779
18-08-2004,-0.458099042,-0.380894619
19-08-2004,-0.384103881,-0.383046492
20-08-2004,1.652524833,-0.380356651
21-08-2004,0.454507943,-0.367445417
22-08-2004,0.549644578,-0.300737377
23-08-2004,1.449331773,-0.226497783
24-08-2004,-0.229066401,-0.254472122
25-08-2004,-0.386452934,-0.323870004
26-08-2004,-0.429910409,-0.322256099
27-08-2004,-0.341820932,-0.326559844
28-08-2004,2.058910955,-0.339471078
29-08-2004,-0.43930662,-0.331939525
30-08-2004,-0.121009975,-0.351844343
31-08-2004,-0.436957567,-0.362065737
01-09-2004,-0.458099042,-0.36959729
02-09-2004,-0.301887035,-0.37497697
03-09-2004,1.256709449,-0.377666811
04-09-2004,-0.298363456,-0.377666811
05-09-2004,-0.456924515,-0.377666811
06-09-2004,-0.458099042,-0.371211194
07-09-2004,-0.454575463,-0.342160918
08-09-2004,-0.458099042,-0.368521354
09-09-2004,-0.458099042,-0.380356651
10-09-2004,-0.458099042,-0.385736332
11-09-2004,-0.458099042,-0.38896414
12-09-2004,-0.09047229,-0.391116013
13-09-2004,-0.332424721,-0.392191949
14-09-2004,-0.455749989,-0.393805853
15-09-2004,0.40047973,-0.389502108
16-09-2004,3.234611845,-0.380894619
17-09-2004,-0.458099042,-0.374439002
18-09-2004,-0.458099042,-0.378742747
19-09-2004,-0.458099042,-0.390040077
20-09-2004,-0.458099042,-0.395957725
21-09-2004,-0.458099042,-0.395957725
22-09-2004,-0.458099042,-0.396495693
23-09-2004,-0.45222641,-0.398109598
24-09-2004,-0.458099042,-0.399185534
25-09-2004,-0.456924515,-0.400799438
26-09-2004,-0.458099042,-0.401875374
27-09-2004,-0.458099042,-0.402413342
28-09-2004,-0.458099042,-0.403489278
29-09-2004,-0.458099042,-0.404565214
30-09-2004,-0.458099042,-0.405103183
01-10-2004,-0.458099042,-0.405641151
02-10-2004,-0.360613354,-0.406179119
03-10-2004,-0.454575463,-0.406179119
04-10-2004,-0.353566195,-0.406179119
05-10-2004,-0.246684296,-0.405641151
06-10-2004,-0.455749989,-0.405103183
07-10-2004,-0.458099042,-0.405641151
08-10-2004,-0.14215145,-0.404565214
09-10-2004,0.312390253,-0.40026147
10-10-2004,4.528517068,-0.377666811
11-10-2004,0.07748498,-0.323332036
12-10-2004,-0.442830199,-0.325483908
13-10-2004,-0.458099042,-0.343236854
14-10-2004,-0.447528305,-0.336781237
15-10-2004,-0.458099042,-0.35829996
16-10-2004,-0.458099042,-0.37497697
17-10-2004,-0.458099042,-0.384660396
18-10-2004,-0.372358617,-0.390578045
19-10-2004,0.924318488,-0.394343821
20-10-2004,-0.386452934,-0.396495693
21-10-2004,-0.23258998,-0.39757163
22-10-2004,-0.424037777,-0.397033661
23-10-2004,1.252011344,-0.396495693
24-10-2004,0.024631294,-0.396495693
25-10-2004,-0.124533555,-0.393805853
26-10-2004,-0.451051884,-0.387888204
27-10-2004,-0.458099042,-0.390040077
28-10-2004,-0.456924515,-0.394343821
29-10-2004,-0.458099042,-0.397033661
30-10-2004,-0.456924515,-0.398647566
31-10-2004,-0.375882196,-0.399723502
01-11-2004,-0.269000297,-0.40026147
02-11-2004,3.428408695,-0.399185534
03-11-2004,3.830096711,-0.242098857
04-11-2004,-0.389976513,-0.11298652
